County,WeekStartDate,NewPos_All,Age 0-19,Age 20-39,Age 40-59,Age 60-79,Age 80+,Positive UnkAge,dtm_updated
Adams County,3/8/2020,4,0,1,1,2,0,0,7/5/2020 15:36
Adams County,3/15/2020,3,0,0,3,0,0,0,7/5/2020 15:36
Adams County,3/22/2020,9,0,1,4,4,0,0,7/5/2020 15:36
Adams County,3/29/2020,17,2,8,4,3,0,0,7/5/2020 15:36
Adams County,4/5/2020,8,1,2,4,1,0,0,7/5/2020 15:36
Adams County,4/12/2020,2,0,1,1,0,0,0,7/5/2020 15:36
Adams County,4/19/2020,4,0,4,0,0,0,0,7/5/2020 15:36
Adams County,4/26/2020,2,0,1,1,0,0,0,7/5/2020 15:36
Adams County,5/3/2020,1,1,0,0,0,0,0,7/5/2020 15:36
Adams County,5/10/2020,2,0,1,1,0,0,0,7/5/2020 15:36
Adams County,5/17/2020,5,0,1,4,0,0,0,7/5/2020 15:36
Adams County,5/24/2020,17,2,9,4,2,0,0,7/5/2020 15:36
Adams County,5/31/2020,15,6,6,3,0,0,0,7/5/2020 15:36
Adams County,6/7/2020,11,1,1,5,3,0,1,7/5/2020 15:36
Adams County,6/14/2020,13,1,4,5,3,0,0,7/5/2020 15:36
Adams County,6/21/2020,30,1,15,8,5,0,1,7/5/2020 15:36
Adams County,6/28/2020,23,2,8,11,2,0,0,7/5/2020 15:36
Asotin County,3/15/2020,2,0,0,0,2,0,0,7/5/2020 15:36
Asotin County,3/29/2020,2,0,0,2,0,0,0,7/5/2020 15:36
Asotin County,4/5/2020,7,0,1,4,1,1,0,7/5/2020 15:36
Asotin County,4/12/2020,4,1,0,3,0,0,0,7/5/2020 15:36
Asotin County,4/19/2020,3,0,0,0,2,1,0,7/5/2020 15:36
Asotin County,5/17/2020,1,0,0,1,0,0,0,7/5/2020 15:36
Asotin County,5/31/2020,1,0,0,0,1,0,0,7/5/2020 15:36
Asotin County,6/21/2020,1,0,0,0,1,0,0,7/5/2020 15:36
Benton County,2/16/2020,1,0,1,0,0,0,0,7/5/2020 15:36
Benton County,3/1/2020,7,0,0,0,3,4,0,7/5/2020 15:36
Benton County,3/8/2020,17,0,3,4,6,4,0,7/5/2020 15:36
Benton County,3/15/2020,57,2,14,16,10,14,1,7/5/2020 15:36
Benton County,3/22/2020,107,3,21,27,26,30,0,7/5/2020 15:36
Benton County,3/29/2020,88,2,24,29,21,12,0,7/5/2020 15:36
Benton County,4/5/2020,72,7,21,30,12,2,0,7/5/2020 15:36
Benton County,4/12/2020,66,3,30,22,9,2,0,7/5/2020 15:36
Benton County,4/19/2020,103,6,39,25,19,14,0,7/5/2020 15:36
Benton County,4/26/2020,81,7,24,26,15,9,0,7/5/2020 15:36
Benton County,5/3/2020,44,2,21,9,9,3,0,7/5/2020 15:36
Benton County,5/10/2020,67,4,32,24,6,1,0,7/5/2020 15:36
Benton County,5/17/2020,100,13,37,26,9,15,0,7/5/2020 15:36
Benton County,5/24/2020,122,12,48,32,21,9,0,7/5/2020 15:36
Benton County,5/31/2020,183,18,75,57,27,6,0,7/5/2020 15:36
Benton County,6/7/2020,255,31,118,76,24,6,0,7/5/2020 15:36
Benton County,6/14/2020,261,30,97,78,34,22,0,7/5/2020 15:36
Benton County,6/21/2020,234,32,111,63,20,8,0,7/5/2020 15:36
Benton County,6/28/2020,91,13,31,28,14,5,0,7/5/2020 15:36
Chelan County,2/9/2020,1,0,0,1,0,0,0,7/5/2020 15:36
Chelan County,3/8/2020,8,0,1,5,1,1,0,7/5/2020 15:36
Chelan County,3/15/2020,8,0,4,0,2,2,0,7/5/2020 15:36
Chelan County,3/22/2020,12,0,3,2,3,4,0,7/5/2020 15:36
Chelan County,3/29/2020,24,1,7,6,9,1,0,7/5/2020 15:36
Chelan County,4/5/2020,16,0,10,4,2,0,0,7/5/2020 15:36
Chelan County,4/12/2020,25,1,18,6,0,0,0,7/5/2020 15:36
Chelan County,4/19/2020,25,5,7,9,4,0,0,7/5/2020 15:36
Chelan County,4/26/2020,20,1,6,7,6,0,0,7/5/2020 15:36
Chelan County,5/3/2020,25,6,11,7,1,0,0,7/5/2020 15:36
Chelan County,5/10/2020,35,6,18,10,0,1,0,7/5/2020 15:36
Chelan County,5/17/2020,43,5,16,19,3,0,0,7/5/2020 15:36
Chelan County,5/24/2020,19,4,8,5,2,0,0,7/5/2020 15:36
Chelan County,5/31/2020,6,2,3,0,1,0,0,7/5/2020 15:36
Chelan County,6/7/2020,10,4,5,1,0,0,0,7/5/2020 15:36
Chelan County,6/14/2020,23,0,13,8,1,1,0,7/5/2020 15:36
Chelan County,6/21/2020,55,5,23,21,4,2,0,7/5/2020 15:36
Chelan County,6/28/2020,48,7,22,16,3,0,0,7/5/2020 15:36
Clallam County,3/1/2020,2,0,0,0,2,0,0,7/5/2020 15:36
Clallam County,3/8/2020,5,0,0,2,3,0,0,7/5/2020 15:36
Clallam County,3/15/2020,3,0,2,0,1,0,0,7/5/2020 15:36
Clallam County,3/29/2020,3,0,2,0,1,0,0,7/5/2020 15:36
Clallam County,4/5/2020,1,0,0,1,0,0,0,7/5/2020 15:36
Clallam County,4/19/2020,4,0,3,0,0,1,0,7/5/2020 15:36
Clallam County,4/26/2020,1,0,1,0,0,0,0,7/5/2020 15:36
Clallam County,5/10/2020,4,2,0,2,0,0,0,7/5/2020 15:36
Clallam County,5/17/2020,2,2,0,0,0,0,0,7/5/2020 15:36
Clallam County,5/24/2020,2,0,1,0,0,1,0,7/5/2020 15:36
Clallam County,5/31/2020,1,0,0,1,0,0,0,7/5/2020 15:36
Clallam County,6/7/2020,4,0,2,1,1,0,0,7/5/2020 15:36
Clallam County,6/14/2020,1,0,1,0,0,0,0,7/5/2020 15:36
Clallam County,6/21/2020,7,2,2,3,0,0,0,7/5/2020 15:36
Clallam County,6/28/2020,3,0,1,0,2,0,0,7/5/2020 15:36
Clark County,2/23/2020,3,0,0,1,1,1,0,7/5/2020 15:36
Clark County,3/1/2020,5,0,0,2,0,3,0,7/5/2020 15:36
Clark County,3/8/2020,29,0,3,15,11,0,0,7/5/2020 15:36
Clark County,3/15/2020,57,2,10,26,15,4,0,7/5/2020 15:36
Clark County,3/22/2020,66,0,21,25,18,2,0,7/5/2020 15:36
Clark County,3/29/2020,53,1,11,21,17,3,0,7/5/2020 15:36
Clark County,4/5/2020,62,2,19,17,16,8,0,7/5/2020 15:36
Clark County,4/12/2020,46,2,8,15,12,9,0,7/5/2020 15:36
Clark County,4/19/2020,22,3,3,7,1,8,0,7/5/2020 15:36
Clark County,4/26/2020,18,3,6,5,3,1,0,7/5/2020 15:36
Clark County,5/3/2020,21,6,8,6,1,0,0,7/5/2020 15:36
Clark County,5/10/2020,19,2,8,7,2,0,0,7/5/2020 15:36
Clark County,5/17/2020,68,4,33,28,3,0,0,7/5/2020 15:36
Clark County,5/24/2020,77,27,26,18,5,1,0,7/5/2020 15:36
Clark County,5/31/2020,57,10,20,21,5,1,0,7/5/2020 15:36
Clark County,6/7/2020,39,3,18,13,4,1,0,7/5/2020 15:36
Clark County,6/14/2020,61,10,30,14,6,1,0,7/5/2020 15:36
Clark County,6/21/2020,150,12,79,44,14,1,0,7/5/2020 15:36
Clark County,6/28/2020,69,7,32,19,11,0,0,7/5/2020 15:36
Columbia County,3/1/2020,1,0,0,0,1,0,0,7/5/2020 15:36
Columbia County,6/7/2020,2,0,0,2,0,0,0,7/5/2020 15:36
Columbia County,6/14/2020,5,4,1,0,0,0,0,7/5/2020 15:36
Cowlitz County,2/23/2020,1,0,0,0,1,0,0,7/5/2020 15:36
Cowlitz County,3/1/2020,1,0,0,0,1,0,0,7/5/2020 15:36
Cowlitz County,3/8/2020,8,0,2,1,5,0,0,7/5/2020 15:36
Cowlitz County,3/15/2020,8,0,3,1,3,1,0,7/5/2020 15:36
Cowlitz County,3/22/2020,3,0,2,0,1,0,0,7/5/2020 15:36
Cowlitz County,3/29/2020,7,1,1,2,3,0,0,7/5/2020 15:36
Cowlitz County,4/5/2020,6,0,0,4,2,0,0,7/5/2020 15:36
Cowlitz County,4/12/2020,10,0,2,2,6,0,0,7/5/2020 15:36
Cowlitz County,4/19/2020,5,0,3,2,0,0,0,7/5/2020 15:36
Cowlitz County,4/26/2020,14,5,6,1,2,0,0,7/5/2020 15:36
Cowlitz County,5/3/2020,5,1,1,1,2,0,0,7/5/2020 15:36
Cowlitz County,5/10/2020,5,0,2,3,0,0,0,7/5/2020 15:36
Cowlitz County,5/17/2020,2,0,0,2,0,0,0,7/5/2020 15:36
Cowlitz County,5/24/2020,3,0,0,3,0,0,0,7/5/2020 15:36
Cowlitz County,5/31/2020,34,2,18,10,3,1,0,7/5/2020 15:36
Cowlitz County,6/7/2020,23,4,11,6,2,0,0,7/5/2020 15:36
Cowlitz County,6/14/2020,32,5,15,9,2,1,0,7/5/2020 15:36
Cowlitz County,6/21/2020,24,4,9,6,5,0,0,7/5/2020 15:36
Cowlitz County,6/28/2020,17,2,8,4,2,1,0,7/5/2020 15:36
Douglas County,3/1/2020,2,0,0,1,0,0,1,7/5/2020 15:36
Douglas County,3/8/2020,1,0,0,0,0,1,0,7/5/2020 15:36
Douglas County,3/15/2020,1,0,0,0,1,0,0,7/5/2020 15:36
Douglas County,3/22/2020,9,3,1,2,1,2,0,7/5/2020 15:36
Douglas County,3/29/2020,8,1,6,1,0,0,0,7/5/2020 15:36
Douglas County,4/5/2020,8,0,4,1,2,1,0,7/5/2020 15:36
Douglas County,4/12/2020,38,2,31,4,0,1,0,7/5/2020 15:36
Douglas County,4/19/2020,13,0,6,5,2,0,0,7/5/2020 15:36
Douglas County,4/26/2020,23,1,7,8,5,2,0,7/5/2020 15:36
Douglas County,5/3/2020,20,3,10,7,0,0,0,7/5/2020 15:36
Douglas County,5/10/2020,21,2,6,9,4,0,0,7/5/2020 15:36
Douglas County,5/17/2020,23,4,5,12,2,0,0,7/5/2020 15:36
Douglas County,5/24/2020,11,1,4,5,1,0,0,7/5/2020 15:36
Douglas County,5/31/2020,2,0,1,1,0,0,0,7/5/2020 15:36
Douglas County,6/7/2020,11,5,2,3,1,0,0,7/5/2020 15:36
Douglas County,6/14/2020,19,4,7,7,1,0,0,7/5/2020 15:36
Douglas County,6/21/2020,37,6,16,13,2,0,0,7/5/2020 15:36
Douglas County,6/28/2020,32,8,14,9,0,1,0,7/5/2020 15:36
Franklin County,2/9/2020,1,0,0,1,0,0,0,7/5/2020 15:36
Franklin County,2/23/2020,1,0,0,0,1,0,0,7/5/2020 15:36
Franklin County,3/1/2020,2,0,1,0,1,0,0,7/5/2020 15:36
Franklin County,3/8/2020,5,0,1,3,1,0,0,7/5/2020 15:36
Franklin County,3/15/2020,18,0,10,6,1,1,0,7/5/2020 15:36
Franklin County,3/22/2020,48,1,10,27,10,0,0,7/5/2020 15:36
Franklin County,3/29/2020,53,3,16,27,5,2,0,7/5/2020 15:36
Franklin County,4/5/2020,64,1,21,26,14,2,0,7/5/2020 15:36
Franklin County,4/12/2020,78,3,27,35,6,7,0,7/5/2020 15:36
Franklin County,4/19/2020,79,3,21,33,15,5,2,7/5/2020 15:36
Franklin County,4/26/2020,73,3,31,29,9,1,0,7/5/2020 15:36
Franklin County,5/3/2020,39,0,12,14,10,3,0,7/5/2020 15:36
Franklin County,5/10/2020,60,3,26,21,7,3,0,7/5/2020 15:36
Franklin County,5/17/2020,94,14,39,31,10,0,0,7/5/2020 15:36
Franklin County,5/24/2020,151,22,57,53,18,1,0,7/5/2020 15:36
Franklin County,5/31/2020,235,28,80,92,32,3,0,7/5/2020 15:36
Franklin County,6/7/2020,245,32,105,77,29,2,0,7/5/2020 15:36
Franklin County,6/14/2020,298,34,135,102,25,2,0,7/5/2020 15:36
Franklin County,6/21/2020,256,41,103,89,20,2,1,7/5/2020 15:36
Franklin County,6/28/2020,98,12,32,34,15,5,0,7/5/2020 15:36
Grant County,2/16/2020,1,0,0,1,0,0,0,7/5/2020 15:36
Grant County,2/23/2020,1,0,0,0,0,1,0,7/5/2020 15:36
Grant County,3/1/2020,4,0,1,0,3,0,0,7/5/2020 15:36
Grant County,3/8/2020,36,4,12,13,7,0,0,7/5/2020 15:36
Grant County,3/15/2020,33,1,8,15,9,0,0,7/5/2020 15:36
Grant County,3/22/2020,22,2,9,8,3,0,0,7/5/2020 15:36
Grant County,3/29/2020,18,1,11,5,1,0,0,7/5/2020 15:36
Grant County,4/5/2020,28,3,8,10,7,0,0,7/5/2020 15:36
Grant County,4/12/2020,13,3,4,5,1,0,0,7/5/2020 15:36
Grant County,4/19/2020,11,2,7,2,0,0,0,7/5/2020 15:36
Grant County,4/26/2020,15,1,12,2,0,0,0,7/5/2020 15:36
Grant County,5/3/2020,4,0,0,3,1,0,0,7/5/2020 15:36
Grant County,5/10/2020,6,2,1,3,0,0,0,7/5/2020 15:36
Grant County,5/17/2020,18,3,9,6,0,0,0,7/5/2020 15:36
Grant County,5/24/2020,32,9,13,4,4,2,0,7/5/2020 15:36
Grant County,5/31/2020,15,2,9,4,0,0,0,7/5/2020 15:36
Grant County,6/7/2020,91,20,33,27,9,2,0,7/5/2020 15:36
Grant County,6/14/2020,108,14,47,28,15,4,0,7/5/2020 15:36
Grant County,6/21/2020,74,13,29,21,10,1,0,7/5/2020 15:36
Grant County,6/28/2020,22,2,9,7,3,1,0,7/5/2020 15:36
Grays Harbor County,2/16/2020,1,0,0,0,1,0,0,7/5/2020 15:36
Grays Harbor County,2/23/2020,1,0,0,0,1,0,0,7/5/2020 15:36
Grays Harbor County,3/1/2020,1,0,0,0,1,0,0,7/5/2020 15:36
Grays Harbor County,3/15/2020,1,0,0,1,0,0,0,7/5/2020 15:36
Grays Harbor County,3/22/2020,3,0,1,2,0,0,0,7/5/2020 15:36
Grays Harbor County,3/29/2020,4,0,0,2,2,0,0,7/5/2020 15:36
Grays Harbor County,4/5/2020,1,0,0,0,1,0,0,7/5/2020 15:36
Grays Harbor County,4/26/2020,1,0,0,0,0,1,0,7/5/2020 15:36
Grays Harbor County,5/3/2020,2,0,0,0,2,0,0,7/5/2020 15:36
Grays Harbor County,5/17/2020,2,1,1,0,0,0,0,7/5/2020 15:36
Grays Harbor County,5/24/2020,1,0,1,0,0,0,0,7/5/2020 15:36
Grays Harbor County,5/31/2020,2,0,2,0,0,0,0,7/5/2020 15:36
Grays Harbor County,6/7/2020,1,0,0,1,0,0,0,7/5/2020 15:36
Grays Harbor County,6/14/2020,3,1,0,0,2,0,0,7/5/2020 15:36
Grays Harbor County,6/21/2020,1,0,1,0,0,0,0,7/5/2020 15:36
Grays Harbor County,6/28/2020,1,0,1,0,0,0,0,7/5/2020 15:36
Island County,2/23/2020,2,0,0,1,1,0,0,7/5/2020 15:36
Island County,3/1/2020,10,0,0,5,5,0,0,7/5/2020 15:36
Island County,3/8/2020,25,0,6,8,9,2,0,7/5/2020 15:36
Island County,3/15/2020,34,0,9,10,11,4,0,7/5/2020 15:36
Island County,3/22/2020,70,3,15,14,14,24,0,7/5/2020 15:36
Island County,3/29/2020,22,0,2,8,8,4,0,7/5/2020 15:36
Island County,4/5/2020,4,0,1,2,1,0,0,7/5/2020 15:36
Island County,4/12/2020,1,0,1,0,0,0,0,7/5/2020 15:36
Island County,4/19/2020,3,0,0,0,0,3,0,7/5/2020 15:36
Island County,4/26/2020,5,0,1,2,2,0,0,7/5/2020 15:36
Island County,5/3/2020,4,0,2,2,0,0,0,7/5/2020 15:36
Island County,5/10/2020,1,0,0,0,1,0,0,7/5/2020 15:36
Island County,5/24/2020,1,0,0,1,0,0,0,7/5/2020 15:36
